uuid;tid;amount;st_astext;id;in_operation;length;node_a;node_b;operates_from;operates_until;scenario;type
8ae9247a-0ad4-36c5-bd8f-110a65264887;235963;1;;LTG_NS_NET126_F2_(7)-NS_NET126_F2_(8);t;0.025000000372529;12195;12196;;;;10
082dcf33-1b11-3f33-b7f7-92a261ea2e6c;235997;1;;LTG_NS_NET136_S3_1-NS_NET136_S3_2;t;0.0299999993294477;12259;12260;;;;16
2060ac19-642c-32ac-acd0-221fed9a62f8;236093;1;;LTG_NS_NET146_F4_(15)-NS_NET146_F4_(14);t;0.0839999988675117;12369;12368;;;;10
3e3a5c91-b65e-3735-b44c-6ce76a38418d;235952;1;;LTG_NS_NET126_F2_(19)-NS_NET126_F2_(20);t;0.0199999995529652;12180;12182;;;;3
b25ec65e-9050-3074-9ceb-30a1168b52e1;235932;1;;LTG_NS_NET126_F4_(8)-NS_NET126_F4_(9);t;0.0430000014603138;12245;12246;;;;16
e490aa04-7452-3ddc-8390-7b9d28b0b893;236041;1;LINESTRING(7.39249992370605 51.810001373291,7.39249992370605 51.810001373291);LTG_NS_NET146_F1_(25)-NS_NET146_F1_(26);t;0.028999999165535;12281;12282;;;;16
142ca7a9-d886-3b6e-84a3-67a8419fcdda;235843;1;;LTG_MS1_06-MS1_07;t;6;12088;12090;;;;2
c3100c26-4f49-3396-bcb2-6a3aa2515820;235851;1;;LTG_MS3_02-MS3_03;t;0.5;12100;12101;;;;2
fc5b9630-31c6-35dc-974d-f100d89a2df4;235958;1;;LTG_NS_NET126_F2_(26)-NS_NET126_F2_(27);t;0.0280000008642673;12188;12189;;;;10
34b993e5-5f88-3b0d-b138-16984f05db58;235989;1;;LTG_NS_NET126_F4_(11)-NS_NET126_F4_(12);t;0.0500000007450581;12232;12233;;;;3
5d8a4bc4-d5fa-3c65-a540-a15b898b822f;236012;1;;LTG_NS_NET146_F1_(36)-NS_NET146_F1_(35);t;0.0199999995529652;12293;12292;;;;16
23a4aaae-fb28-37ff-9267-a24f18f3f3e3;236021;1;;LTG_NS_NET146_F2_(11)-NS_NET146_F2_(12);t;0.0299999993294477;12305;12306;;;;10
4450f06f-714d-32a6-9f11-5412ec132a12;236037;1;LINESTRING(7.39249992370605 51.810001373291,7.39249992370605 51.810001373291);LTG_NS_NET146_F1_(20)-NS_NET146_F1_(21);t;0.0599999986588955;12276;12277;;;;10
4ae68eb7-d7c8-3b54-b43f-3983ea2e37c9;235990;1;;LTG_NS_NET126_F4_(5)-NS_NET126_F4_(6);t;0.0540000014007092;12242;12243;;;;10
44df6c40-5cec-33e2-8389-474027959f33;235943;1;;LTG_NS_NET126_F1_(36)-NS_NET126_F1_(35);t;0.028999999165535;12160;12159;;;;10
26c354b6-c0d9-35da-b0ed-1b28b1217137;236008;1;;LTG_NS_NET146_F1_(24)-NS_NET146_F1_(25);t;0.0280000008642673;12280;12281;;;;16
cf2d2d89-2bd2-3978-b10c-63e56cc13c08;236113;1;;LTG_NS_NET146_F3_(6)-NS_NET146_F3_(7);t;0.028999999165535;12359;12360;;;;3
d16e6d22-80b6-3c55-b7f7-1f4555aa4550;236094;1;;LTG_NS_NET146_F4_(15)-NS_NET146_F4_(16);t;0.0480000004172325;12369;12370;;;;3
155fad29-a802-3083-96f1-f573f87966c3;236098;1;;LTG_NS_NET146_F4_(5)-NS_NET146_F4_(6);t;0.0540000014007092;12375;12376;;;;16
d9a0d7b2-946c-3b7c-ab6f-65172300e1a1;236122;1;;LTG_NS_NET146_F4_(8)-NS_NET146_F4_(9);t;0.0430000014603138;12378;12379;;;;16
abd76d09-6a7d-3423-b847-7288653d8de8;236109;1;LINESTRING(7.39249992370605 51.810001373291,7.39249992370605 51.810001373291);LTG_NS_NET146_F3_(3)-NS_NET146_F3_(4);t;0.0189999993890524;12353;12357;;;;3
